year,country,country_code,data_categories,element,score,income_group,gni_pc,Median scores by income group,gni_logged,gni text
2022,Cuba,CUB,All Categories,Overall score,37.3,Upper middle income,8920,50.8,9.096051225574055,GNI per capita (US$) is 8920
2022,Dominica,DMA,All Categories,Overall score,29.8,Upper middle income,7790,50.8,8.960596138864794,GNI per capita (US$) is 7790
2022,Dominican Republic,DOM,All Categories,Overall score,56.3,Upper middle income,8100,50.8,8.99961934066053,GNI per capita (US$) is 8100
2022,Ecuador,ECU,All Categories,Overall score,64.8,Upper middle income,5960,50.8,8.692825760059396,GNI per capita (US$) is 5960
2022,Equatorial Guinea,GNQ,All Categories,Overall score,30.8,Upper middle income,5150,50.8,8.546751993657782,GNI per capita (US$) is 5150
2022,Fiji,FJI,All Categories,Overall score,41.8,Upper middle income,4500,50.8,8.411832675758411,GNI per capita (US$) is 4500
2022,Gabon,GAB,All Categories,Overall score,34.4,Upper middle income,6440,50.8,8.770283819098399,GNI per capita (US$) is 6440
2022,Georgia,GEO,All Categories,Overall score,71.2,Upper middle income,4700,50.8,8.45531778769815,GNI per capita (US$) is 4700
2022,Grenada,GRD,All Categories,Overall score,16.3,Upper middle income,8590,50.8,9.0583540149783,GNI per capita (US$) is 8590
2022,Guatemala,GTM,All Categories,Overall score,35.5,Upper middle income,4940,50.8,8.505120610181969,GNI per capita (US$) is 4940
2022,Guyana,GUY,All Categories,Overall score,33.6,Upper middle income,9410,50.8,9.149528232579426,GNI per capita (US$) is 9410
2022,Iraq,IRQ,All Categories,Overall score,41.1,Upper middle income,4760,50.8,8.468002947225466,GNI per capita (US$) is 4760
2022,Jamaica,JAM,All Categories,Overall score,56.4,Upper middle income,5190,50.8,8.554488976159934,GNI per capita (US$) is 5190
2022,Jordan,JOR,All Categories,Overall score,67.2,Upper middle income,4170,50.8,8.335671314792847,GNI per capita (US$) is 4170
2022,Kazakhstan,KAZ,All Categories,Overall score,63.6,Upper middle income,8880,50.8,9.091556835986216,GNI per capita (US$) is 8880
2022,Kosovo,XKX,All Categories,Overall score,48.2,Upper middle income,5130,50.8,8.542860938164814,GNI per capita (US$) is 5130
2022,Libya,LBY,All Categories,Overall score,21.3,Upper middle income,8700,50.8,9.071078304642676,GNI per capita (US$) is 8700
2022,Malaysia,MYS,All Categories,Overall score,59,Upper middle income,10710,50.8,9.278933163441794,GNI per capita (US$) is 10710
2022,Maldives,MDV,All Categories,Overall score,43.2,Upper middle income,9600,50.8,9.169518377455928,GNI per capita (US$) is 9600
2022,Marshall Islands,MHL,All Categories,Overall score,27.7,Upper middle income,6780,50.8,8.821732380934442,GNI per capita (US$) is 6780
2022,Mauritius,MUS,All Categories,Overall score,52.2,Upper middle income,9920,50.8,9.20230820027892,GNI per capita (US$) is 9920
2022,Mexico,MEX,All Categories,Overall score,69.9,Upper middle income,9590,50.8,9.168476167877484,GNI per capita (US$) is 9590
2022,Moldova,MDA,All Categories,Overall score,76.1,Upper middle income,5370,50.8,8.58858318750291,GNI per capita (US$) is 5370
2022,Montenegro,MNE,All Categories,Overall score,50.7,Upper middle income,9340,50.8,9.142061531222888,GNI per capita (US$) is 9340
2022,Namibia,NAM,All Categories,Overall score,36.5,Upper middle income,4650,50.8,8.444622498581403,GNI per capita (US$) is 4650
2022,North Macedonia,MKD,All Categories,Overall score,62.8,Upper middle income,6190,50.8,8.730690365678642,GNI per capita (US$) is 6190
2022,Palau,PLW,All Categories,Overall score,33.8,Upper middle income,12790,50.8,9.456418894572888,GNI per capita (US$) is 12790
2022,Paraguay,PRY,All Categories,Overall score,54.8,Upper middle income,5740,50.8,8.655214489313613,GNI per capita (US$) is 5740
2022,Peru,PER,All Categories,Overall score,60.6,Upper middle income,6460,50.8,8.773384596776648,GNI per capita (US$) is 6460
2022,Russian Federation,RUS,All Categories,Overall score,61.8,Upper middle income,11610,50.8,9.359622074691938,GNI per capita (US$) is 11610
2022,Serbia,SRB,All Categories,Overall score,68.9,Upper middle income,8460,50.8,9.04310445260027,GNI per capita (US$) is 8460
2022,South Africa,ZAF,All Categories,Overall score,52.8,Upper middle income,6530,50.8,8.784162222270476,GNI per capita (US$) is 6530
2022,St. Lucia,LCA,All Categories,Overall score,52.9,Upper middle income,9520,50.8,9.161150127785412,GNI per capita (US$) is 9520
2022,St. Vincent & Grenadines,VCT,All Categories,Overall score,47.3,Upper middle income,8720,50.8,9.073374516903025,GNI per capita (US$) is 8720
2022,Suriname,SUR,All Categories,Overall score,53.6,Upper middle income,4410,50.8,8.391629968440892,GNI per capita (US$) is 4410
2022,Thailand,THA,All Categories,Overall score,47.4,Upper middle income,7090,50.8,8.866440619526173,GNI per capita (US$) is 7090
2022,Tonga,TON,All Categories,Overall score,44.1,Upper middle income,4930,50.8,8.503094267036737,GNI per capita (US$) is 4930
2022,Turkey,TUR,All Categories,Overall score,59.2,Upper middle income,9900,50.8,9.20029003612268,GNI per capita (US$) is 9900
2022,Turkmenistan,TKM,All Categories,Overall score,1.5,Upper middle income,6970,50.8,8.84937050375457,GNI per capita (US$) is 6970
2022,Tuvalu,TUV,All Categories,Overall score,29.7,Upper middle income,7200,50.8,8.881836305004146,GNI per capita (US$) is 7200
2022,Algeria,DZA,All Categories,Overall score,29.7,Lower middle income,3660,42,8.205218426395412,GNI per capita (US$) is 3660
2022,Angola,AGO,All Categories,Overall score,35.1,Lower middle income,1710,42,7.444248649496705,GNI per capita (US$) is 1710
2022,Bangladesh,BGD,All Categories,Overall score,38.2,Lower middle income,2570,42,7.851661177889265,GNI per capita (US$) is 2570
2022,Benin,BEN,All Categories,Overall score,51.1,Lower middle income,1350,42,7.2078598714324755,GNI per capita (US$) is 1350
2022,Bhutan,BTN,All Categories,Overall score,43.6,Lower middle income,3040,42,8.019612794400267,GNI per capita (US$) is 3040
2022,Bolivia,BOL,All Categories,Overall score,52.4,Lower middle income,3290,42,8.098642843759418,GNI per capita (US$) is 3290
2022,Cabo Verde,CPV,All Categories,Overall score,44,Lower middle income,3190,42,8.06777619577889,GNI per capita (US$) is 3190
2022,Cambodia,KHM,All Categories,Overall score,36.3,Lower middle income,1580,42,7.365180126021013,GNI per capita (US$) is 1580
2022,Cameroon,CMR,All Categories,Overall score,44,Lower middle income,1590,42,7.371489295214277,GNI per capita (US$) is 1590
2022,Cote d'Ivoire,CIV,All Categories,Overall score,19,Lower middle income,2420,42,7.791522819150732,GNI per capita (US$) is 2420
2022,Djibouti,DJI,All Categories,Overall score,29.7,Lower middle income,3080,42,8.03268487596762,GNI per capita (US$) is 3080
2022,Egypt,EGY,All Categories,Overall score,40.8,Lower middle income,3350,42,8.116715624819111,GNI per capita (US$) is 3350
2022,El Salvador,SLV,All Categories,Overall score,40,Lower middle income,4260,42,8.357024439263416,GNI per capita (US$) is 4260
2022,Eswatini,SWZ,All Categories,Overall score,16.3,Lower middle income,3650,42,8.202482446576537,GNI per capita (US$) is 3650
2022,Ghana,GHA,All Categories,Overall score,40.1,Lower middle income,2280,42,7.731930721948486,GNI per capita (US$) is 2280
2022,Haiti,HTI,All Categories,Overall score,3.7,Lower middle income,1430,42,7.265429723253953,GNI per capita (US$) is 1430
2022,Honduras,HND,All Categories,Overall score,35.7,Lower middle income,2490,42,7.820037989458753,GNI per capita (US$) is 2490
2022,India,IND,All Categories,Overall score,52.8,Lower middle income,2150,42,7.673223121121708,GNI per capita (US$) is 2150
2022,Indonesia,IDN,All Categories,Overall score,70.7,Lower middle income,4180,42,8.338066525518801,GNI per capita (US$) is 4180
2022,Kenya,KEN,All Categories,Overall score,41.4,Lower middle income,2080,42,7.640123172695364,GNI per capita (US$) is 2080
2022,Kiribati,KIR,All Categories,Overall score,31.4,Lower middle income,2750,42,7.919356190660617,GNI per capita (US$) is 2750
2022,Kyrgyz Republic,KGZ,All Categories,Overall score,50.9,Lower middle income,1180,42,7.07326971745971,GNI per capita (US$) is 1180
2022,Lao PDR,LAO,All Categories,Overall score,46,Lower middle income,2500,42,7.824046010856292,GNI per capita (US$) is 2500
2022,Lebanon,LBN,All Categories,Overall score,32.4,Lower middle income,5110,42,8.53895468319775,GNI per capita (US$) is 5110
2022,Lesotho,LSO,All Categories,Overall score,39.4,Lower middle income,1210,42,7.098375638590786,GNI per capita (US$) is 1210
2022,Mauritania,MRT,All Categories,Overall score,41.4,Lower middle income,1950,42,7.575584651557793,GNI per capita (US$) is 1950
2022,"Micronesia, Fed. Sts.",FSM,All Categories,Overall score,25.7,Lower middle income,3980,42,8.289037098278483,GNI per capita (US$) is 3980
